,Date,Time,Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s)
0,2018-01-01,00:00:00,416.328907824861,259.994903564453,380.047790527343,5.31133604049682
1,2018-01-01,01:00:00,557.3723632902249,266.163604736328,447.605712890625,5.79300785064697
2,2018-01-01,02:00:00,824.6625135858819,274.23291015625,710.587280273437,6.54741382598876
3,2018-01-01,03:00:00,773.172863451736,261.15869140625,736.647827148437,6.41508293151855
4,2018-01-01,04:00:00,1497.58372354361,256.407409667968,1493.8079833984302,7.94310188293457
5,2018-01-01,05:00:00,1060.85971215544,235.22790527343702,1164.89294433593,7.0982980728149405
6,2018-01-01,06:00:00,1127.43320551345,248.40100097656202,1114.02697753906,7.239252090454099
7,2018-01-01,07:00:00,966.279104864065,235.84829711913997,909.887817382812,6.887821197509759
8,2018-01-01,08:00:00,564.9276595434729,240.32879638671798,585.2593994140619,5.816825866699211
9,2018-01-01,09:00:00,691.546334303948,199.848495483398,725.868103027343,6.19436883926391
10,2018-01-01,10:00:00,872.739625855708,235.66749572753898,881.0620727539059,6.66665792465209
11,2018-01-01,11:00:00,233.63278053192698,234.105606079101,233.99060058593702,4.55453395843505
12,2018-01-01,12:00:00,185.598479588255,227.03999328613202,194.181198120117,4.323760986328121
13,2018-01-01,13:00:00,336.721998240131,235.27949523925702,346.86441040039,5.00293922424316
14,2018-01-01,14:00:00,618.731442665699,234.984405517578,589.0731201171869,5.981378078460691
15,2018-01-01,15:00:00,1695.53877696245,236.461395263671,1616.8459472656198,8.28225994110107
16,2018-01-01,16:00:00,3133.2592242018395,224.68060302734298,2812.27905273437,10.6475200653076
17,2018-01-01,17:00:00,2207.79281988587,223.960906982421,2118.38989257812,9.09868335723876
18,2018-01-01,18:00:00,2285.9170315439,212.179901123046,1958.1330566406198,9.218843460082999
19,2018-01-01,19:00:00,3048.8238327855897,205.752899169921,2584.6650390625,10.4647703170776
20,2018-01-01,20:00:00,3386.24448582472,199.80549621582,3209.01806640625,11.363539695739698
21,2018-01-01,21:00:00,3597.4694674700395,201.582595825195,3604.2099609375,12.928139686584402
22,2018-01-01,22:00:00,3597.79463518254,201.340896606445,3479.40795898437,12.963939666747999
23,2018-01-01,23:00:00,3572.5561429255104,202.41180419921798,3570.0791015625,12.418809890747001
24,2018-02-01,00:00:00,3591.30046108295,196.042205810546,3377.64990234375,12.705389976501401
25,2018-02-01,01:00:00,3536.10513948266,197.952697753906,3467.80810546875,12.0960702896118
26,2018-02-01,02:00:00,3600.0,196.25520324707,3604.17602539062,14.102419853210401
27,2018-02-01,03:00:00,3600.0,191.013702392578,3395.23291015625,13.742329597473098
28,2018-02-01,04:00:00,3585.76741417889,196.042297363281,3513.84497070312,12.5986604690551
29,2018-02-01,05:00:00,3582.1110958274603,200.36340332031202,3555.30493164062,12.5416202545166
30,2018-02-01,06:00:00,3463.03160296846,200.703506469726,3235.5439453125,11.6793298721313
31,2018-02-01,07:00:00,3518.5082471172295,199.402206420898,3417.74609375,11.9781303405761
32,2018-02-01,08:00:00,3426.9224722697804,195.854705810546,3375.17700195312,11.520819664001401
33,2018-02-01,09:00:00,3186.225079135,193.17039489746003,2978.31005859375,10.772899627685499
34,2018-02-01,10:00:00,3600.0,196.345596313476,3597.56494140625,15.124059677124
35,2018-02-01,11:00:00,3600.0,195.04029846191398,3601.8701171875,15.861749649047802
36,2018-02-01,12:00:00,3600.0,203.289398193359,3537.67602539062,13.322810173034599
37,2018-02-01,13:00:00,2190.7047631414302,198.236404418945,1278.89501953125,9.0723066329956
38,2018-02-01,14:00:00,3238.7061584522,204.81379699707,3111.06005859375,10.907259941101
39,2018-02-01,15:00:00,3395.9291651878602,205.625,3298.76196289062,11.399299621582001
40,2018-02-01,16:00:00,3551.31873448443,201.715606689453,3493.97900390625,12.2135295867919
41,2018-02-01,17:00:00,3600.0,203.440704345703,3602.63793945312,13.0772199630737
42,2018-02-01,18:00:00,3550.5421173812797,189.52380371093702,3515.61010742187,12.2070798873901
43,2018-02-01,19:00:00,3367.8051386683,192.858200073242,3061.73510742187,11.297969818115199
44,2018-02-01,20:00:00,2687.68808162899,199.747406005859,2316.64794921875,9.83873844146728
45,2018-02-01,21:00:00,3592.2690260433205,202.413299560546,3591.09301757812,12.7283201217651
46,2018-02-01,22:00:00,2021.7542391451602,187.48460388183497,1625.75598144531,8.809141159057608
47,2018-02-01,23:00:00,1613.84771310931,181.65960693359298,1303.11694335937,8.14458179473876
48,2018-03-01,00:00:00,3019.3326956261603,176.925598144531,2782.56811523437,10.405119895935
49,2018-03-01,01:00:00,1323.91105222754,202.940505981445,1278.88696289062,7.626486778259269
50,2018-03-01,02:00:00,717.8434981176241,211.200302124023,737.4487915039059,6.267045021057121
51,2018-03-01,03:00:00,466.619713732775,150.281692504882,444.603607177734,5.49171495437622
52,2018-03-01,04:00:00,1243.60005403349,154.783798217773,1214.1259765625,7.4722261428833
53,2018-03-01,05:00:00,1149.01242363998,176.79319763183497,1153.13903808593,7.28374290466308
54,2018-03-01,06:00:00,1584.39555144266,194.00929260253898,1568.8859863281198,8.094202995300291
55,2018-03-01,07:00:00,2263.87309482431,190.007003784179,2108.77099609375,9.185004234313961
56,2018-03-01,08:00:00,2328.30752557584,157.36599731445298,1941.46398925781,9.28379154205322
57,2018-03-01,09:00:00,233.455863572107,148.05360412597602,189.137802124023,4.5537109375
58,2018-03-01,10:00:00,269.205736737451,187.605194091796,309.511413574218,4.71614503860473
59,2018-03-01,11:00:00,283.864666226719,187.940597534179,275.013610839843,4.7805628776550195
60,2018-03-01,12:00:00,969.634649871837,193.93670654296798,952.267578125,6.89550590515136
61,2018-03-01,13:00:00,683.274791239476,189.276504516601,672.6187744140619,6.17117977142333
62,2018-03-01,14:00:00,216.232972023662,205.37060546875,183.012802124023,4.472650051116941
